#,Side,Entry Time,Exit Time,Entry Price,Exit Price,P&L,Duration,Entry Reason,Exit Reason
2539,CALL,2026-02-25T09:56:00+05:30,2026-02-25T10:24:00+05:30,25583.80,25630.90,47.10,28m0s,"1m CALL re-entry: EMA6(2557779) EMA9(2557721) > MA21(2557506), close=2558380","1m CALL exit: EMA6(2563460) crossed below EMA9(2563468), close=2563090"
2540,CALL,2026-02-25T10:26:00+05:30,2026-02-25T10:38:00+05:30,25637.85,25626.95,-10.90,12m0s,"1m CALL re-entry: EMA6(2563566) EMA9(2563540) > MA21(2563285), close=2563785","1m CALL exit: EMA6(2563726) crossed below EMA9(2563797), close=2562695"
2541,PUT,2026-02-25T10:39:00+05:30,2026-02-25T11:02:00+05:30,25634.05,25624.55,9.50,23m0s,"1m PUT entry: EMA6(2563635) EMA9(2563718) < MA21(2563721), close=2563405","1m PUT exit: EMA6(2562086) crossed above EMA9(2562048), close=2562455"
2542,PUT,2026-02-25T11:04:00+05:30,2026-02-25T11:05:00+05:30,25615.05,25621.80,-6.75,1m0s,"1m PUT entry: EMA6(2561942) EMA9(2561963) < MA21(2561970), close=2561505","1m PUT exit: EMA6(2562010) crossed above EMA9(2562006), close=2562180"
2543,PUT,2026-02-25T11:14:00+05:30,2026-02-25T11:28:00+05:30,25616.00,25616.75,-0.75,14m0s,"1m PUT entry: EMA6(2561882) EMA9(2561976) < MA21(2562035), close=2561600","1m PUT exit: EMA6(2561128) crossed above EMA9(2561075), close=2561675"
2544,PUT,2026-02-25T11:31:00+05:30,2026-02-25T11:46:00+05:30,25603.35,25612.25,-8.90,15m0s,"1m PUT re-entry: EMA6(2560923) EMA9(2560962) < MA21(2561116), close=2560335","1m PUT exit: EMA6(2560059) crossed above EMA9(2559974), close=2561225"
2545,CALL,2026-02-25T11:48:00+05:30,2026-02-25T11:56:00+05:30,25615.60,25598.55,-17.05,8m0s,"1m CALL entry: EMA6(2560782) EMA9(2560535) > MA21(2560368), close=2561560","1m CALL exit: EMA6(2560657) crossed below EMA9(2560749), close=2559855"
2546,PUT,2026-02-25T11:58:00+05:30,2026-02-25T12:03:00+05:30,25591.10,25610.95,-19.85,5m0s,"1m PUT entry: EMA6(2560034) EMA9(2560265) < MA21(2560373), close=2559110","1m PUT exit: EMA6(2560356) crossed above EMA9(2560331), close=2561095"
2547,PUT,2026-02-25T12:06:00+05:30,2026-02-25T12:12:00+05:30,25606.90,25608.20,-1.30,6m0s,"1m PUT entry: EMA6(2560757) EMA9(2560660) < MA21(2560776), close=2560690","1m PUT exit: EMA6(2560618) crossed above EMA9(2560602), close=2560820"
2548,CALL,2026-02-25T12:16:00+05:30,2026-02-25T12:21:00+05:30,25605.60,25592.75,-12.85,5m0s,"1m CALL entry: EMA6(2560353) EMA9(2560381) > MA21(2560333), close=2560560","1m CALL exit: EMA6(2560287) crossed below EMA9(2560376), close=2559275"
